ITEMID,LABEL,ABBREVIATION,LINKSTO,UNITNAME,count_total,count_valuenum_notnull,valueuom_mode
3001,Solumedrol mg/kg/hr,,chartevents,,161,161,
2287,APROTININ CC/HR,,chartevents,,160,160,
223764,Orthostatic HR lying,Orthostatic HR lying,chartevents,bpm,160,160,bpm
3192,BUMEX MG/HR,,chartevents,,158,157,
2593,PENTOBARB DRIP MG/HR,,chartevents,,154,144,
3277,NICARDIPINE--MG/HR,,chartevents,,149,149,
1226,Pantoprazole mg/hr,,chartevents,,148,147,
2757,KETAMINE MG/HR,,chartevents,,143,142,
6806,Mucomyst mg/hr,,chartevents,,138,137,
7743,ACETYLCYSTEINE MG/HR,,chartevents,,133,133,
224647,Orthostatic HR standing,Orthostatic HR standing,chartevents,bpm,129,129,bpm
1587,xigris mg/hr,,chartevents,,128,128,
2166,PRECEDEX MCG/KG/HR,,chartevents,,123,122,
2478,Amiodarone mg/hr,,chartevents,,122,121,
7132,mucomyst mg/kg/hr,,chartevents,,121,121,
2509,APROTONIN CC/HR,,chartevents,,121,120,
227923,Activity HR - Aerobic Activity Response,Activity HR - Aerobic Activity Response,chartevents,None,116,116,
2809,xigris mcg/kg/hr,,chartevents,,114,114,
227930,Recovery HR - Aerobic Activity Response,Recovery HR - Aerobic Activity Response,chartevents,None,114,114,
3269,XIGRIS MG/HR,,chartevents,,109,108,
2355,solumedrol mg/kg/hr,,chartevents,,105,104,
2548,nimbex mg/kg/hr,,chartevents,,103,103,
3257,XIGRIS @ 1.66 MG/HR,,chartevents,,102,102,
2161,aprotinin cc/hr,,chartevents,,101,99,
2655,ALCOHOL 10%DRIP G/HR,,chartevents,,98,98,
2876,10% ALCOHOL CC/HR,,chartevents,,98,98,
7107,Acetylcysteine mg/hr,,chartevents,,92,92,
7998,Versed mg/kg/hr,,chartevents,,89,89,
2373,APROTININ ML/HR,,chartevents,,87,86,
2344,TPA MG/HR,,chartevents,,83,83,
2101,nicardipine mg/hr,,chartevents,,81,80,
2804,10% alcohol/ cc/hr,,chartevents,,75,74,
2806,ALCOHOL GTT ML/HR,,chartevents,,74,73,
2694,LEPIRUDIN MG/HR,,chartevents,,70,70,
2418,CARIPORIDE 20MG/HR,,chartevents,,69,69,
1949,famotidine mg/hr,,chartevents,,61,61,
3281,Xigres mg/hr,,chartevents,,60,59,
6964,Epidural ml/hr,,chartevents,,59,59,
5588,cyclosporin 3mg/hr,,chartevents,,58,58,
7822,genta irrig cc/hr,,chartevents,,56,56,
8289,Mucomyst       mg/hr,,chartevents,,56,55,
2605,CARAIPORIDE CC/HR,,chartevents,,53,53,
7928,glucagon mg/hr,,chartevents,,50,50,
2301,CIS/CURIUM MG/KG/HR,,chartevents,,50,50,
2959,Solumedrolmg/kg/hr,,chartevents,,47,47,
3044,10% ETOH CC/HR,,chartevents,,45,44,
6651,ca gluc ml/hr,,chartevents,,44,43,
2960,lepirudin mgs/kg/hr,,chartevents,,42,42,
1715,Nicardipine mg/hr,,chartevents,,41,41,
2656,SOLUMEDROL MG/KG/HR,,chartevents,,41,41,
6930,STUDY DRUG CC/HR,,chartevents,,40,40,
5587,CYCLOSPORIN --MG/HR,,chartevents,,38,38,
2983,solumedrol mg/hr,,chartevents,,37,37,
2487,carioride cc/hr,,chartevents,,36,36,
2672,fentanyl mg/hr,,chartevents,,36,35,
2874,lepirudin mg/kg/hr,,chartevents,,35,35,
2467,DEXTROSE GM/HR,,chartevents,,34,34,
7757,NARCAN MG/HR,,chartevents,,34,34,
2547,Precedex mcg/kg/hr,,chartevents,,33,33,
5892,tpa mg/hr,,chartevents,,30,30,
7654,mucomyst mg/hr,,chartevents,,30,28,
8025,Panpropazole mg/hr,,chartevents,,29,29,
6616,Pantoprazole   mg/hr,,chartevents,,28,28,
2188,precedex mcg/kg/hr,,chartevents,,27,27,
2468,NAHCO3- MEQ/HR,,chartevents,,27,27,
2482,SOLUMEDROL  MG/KG/HR,,chartevents,,25,25,
1605,METHYLPRED 450MG/HR,,chartevents,,24,24,
2577,CARIIPORIDE ML/HR,,chartevents,,23,23,
8169,Amicar mg/hr,,chartevents,,23,23,
2764,Aprotinin cc/hr,,chartevents,,22,22,
2283,PRECEDEX MG/K/HR,,chartevents,,21,21,
2667,alteplase mg/hr,,chartevents,,21,21,
7272,Solu-Medrol Mg/Kg/Hr,,chartevents,,21,21,
6573,MgSO4          mg/hr,,chartevents,,20,19,
2334,vasopressin u/hr,,chartevents,,19,0,
3147,TPA #2 mg/hr,,chartevents,,18,18,
3148,TPA#1 mg/hr,,chartevents,,18,18,
5728,Solumedrol  mg/kg/hr,,chartevents,,18,18,
2464,epidural ml/hr,,chartevents,,18,18,
7112,PAPAVERINE MG/HR,,chartevents,,18,18,
8285,TPA            mg/hr,,chartevents,,17,17,
1597,Flolan chart cc/hr,,chartevents,,16,16,
2556,Cisatra.  MG/KG/HR,,chartevents,,16,16,
2947,approtinin cc/hr,,chartevents,,16,16,
2390,cisatracurium mg/hr,,chartevents,,15,15,
8262,ketamine mg/hr,,chartevents,,15,15,
3134,solumed mg/kg/hr,,chartevents,,15,14,
964,THAM CC/HR,,chartevents,,14,14,
2573,cistra  mgm/kg/hr,,chartevents,,14,14,
7425,Solu-medrol mg/hr,,chartevents,,14,14,
6741,pantoprazole mgm/hr,,chartevents,,14,14,
1106,Meperidine mg/hr,,chartevents,,12,12,
1819,Protonix ml/hr,,chartevents,,12,12,
1485,Bivalirudin mg/kg/hr,,chartevents,,12,12,
2679,PENTOBARBITAL MG/HR,,chartevents,,12,12,
2349,APROTONIN U/HR,,chartevents,,12,0,
1677,Altepase mg/hr,,chartevents,,11,11,
2141,Glucagon mg/hr,,chartevents,,11,11,
2861,TPA mg/HR,,chartevents,,10,10,
7245,CALCIUM GLUC ML/HR,,chartevents,,10,10,
6846,Primo study cc/hr,,chartevents,,10,10,
1826,lepirudin  mg/hr,,chartevents,,9,9,
7221,Protonix       mg/hr,,chartevents,,9,9,
5783,aprotinen cc/hr,,chartevents,,8,8,
2274,APROTININ U/HR,,chartevents,,8,8,
2296,Precedex (mcg/kg/hr),,chartevents,,8,8,
2628,bivalirudin mg/hr,,chartevents,,8,8,
2869,PORK INSULIN U/HR,,chartevents,,7,7,
2946,APPROTININ CC/HR,,chartevents,,7,7,
7341,Vasopressin  u/hr,,chartevents,,7,7,
227018,HR_ApacheIV,HR_ApacheIV,chartevents,bpm,7,7,bpm
3005,Aprotiinin ml/hr,,chartevents,,7,6,
1717,tPA            mg/hr,,chartevents,,6,6,
6635,Aprotinin ml/hr,,chartevents,,6,6,
3270,aprotinin ml/hr,,chartevents,,6,5,
6423,Octreotide mcg/hr,,chartevents,,6,2,
2661,ALCOHOL 5% DRIP G/HR,,chartevents,,5,5,
2481,Amicar cc/hr,,chartevents,,4,4,
6352,fentanyl mcg/hr,,chartevents,,4,4,
6429,Glucagon       mg/hr,,chartevents,,4,4,
2705,TPA - left   mg/hr,,chartevents,,4,0,
2706,TPA -right mg/hr,,chartevents,,4,0,
2461,APROTANIN ML/HR,,chartevents,,3,3,
3010,Integrellin cc/hr,,chartevents,,3,0,
2989,APOTININ CC/HR,,chartevents,,2,2,
7158,AMIODARONE CC/HR,,chartevents,,2,2,
7435,Cyclosporine   mg/hr,,chartevents,,2,2,
6969,APROTININ  ML/HR,,chartevents,,2,2,
2684,Cisat mcg/kg/hr,,chartevents,,2,0,
6294,FETAL HR BY L&D RN,,chartevents,,2,0,
1888,pitressin u/hr,,chartevents,,1,1,
2561,VASOPRESSIN U/HR,,chartevents,,1,1,
7439,walking hr,,chartevents,,1,1,
7958,Amiodorone mg/hr,,chartevents,,1,0,
7809,Bumetandime mg/hr,,chartevents,,1,0,
7863,Mag Sulfate    mg/hr,,chartevents,,0,0,
7865,mag sulfate gm/hr,,chartevents,,0,0,
3099,T3 CC/HR,,chartevents,,0,0,
1970,magnesium 2gm/hr,,chartevents,,0,0,
2297,Aggrastat cc/hr,,chartevents,,0,0,
224721,HR > 140,HR > 140,chartevents,,0,0,
224748,Cont Neb - Dose (mg/hr/drug),Cont Neb - Dose (mg/hr/drug),chartevents,mg/hour,0,0,
